[2026-07-22 12:57:10] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
[2026-07-22 12:57:25] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.295s
[2026-07-22 12:57:34] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-22 12:57:56] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.001s
[2026-07-22 12:58:05] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.034s
[2026-07-22 12:58:53] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.472s
[2026-07-22 12:59:02] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-22 12:59:53] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.255s
[2026-07-22 13:00:02] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-22 13:09:43] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 6.018s
[2026-07-22 13:09:53] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-22 13:12:41] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 6.775s
[2026-07-22 13:12:50] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.038s
[2026-07-22 13:34:15] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.171s
[2026-07-22 13:34:24] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
[2026-07-22 13:43:17] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.252s
[2026-07-22 13:43:26] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-23 15:32:20] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.848s
[2026-07-23 15:32:29] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-23 15:32:42] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 2.787s
[2026-07-23 15:32:51] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-23 15:33:22] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.739s
[2026-07-23 15:33:31] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-23 15:34:33] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.341s
[2026-07-23 15:34:42] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-24 13:10:29] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.908s
[2026-07-24 13:10:38] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-24 14:25:01] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.456s
[2026-07-24 14:25:10] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.039s
[2026-07-24 14:26:13] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 14.265s
[2026-07-24 14:26:22] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
[2026-07-24 14:26:49] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 8.221s
[2026-07-24 14:26:58] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
